company_id,company_name,industry,region,ownership_type,supply_chain_role,relationship_stage,employees,revenue_twd_mn,export_ratio,digital_maturity,supply_chain_pressure,major_customer_pressure,transition_project,project_capex_twd_mn,expected_energy_saving_pct,expected_emission_reduction_tons,payback_years,ownership_years,customer_concentration,supplier_concentration,description
CMP_001,和食品物流001,食品加工,彰化,家族企業,出口導向供應商,前審中,936,1242.0858241999665,0.8040502943273337,0.7753944977262119,0.4065064087325897,品牌商,屋頂光電,105.84551593698241,0.31949419687760855,3762.9084868614013,5.842912711662482,24,0.32543278194225717,0.4638425679498176,和食品物流001 為 食品加工 企業，現階段主要關注「屋頂光電」專案，同時面臨 品牌商 帶來的減碳揭露與交期要求。
CMP_002,嘉精工股份002,金屬加工,高雄,家族企業,通路供應商,貸後追蹤中,1034,410.1754231904425,0.6179648072800932,0.8124335214520779,0.562715580877921,出口客戶,製程數位監控,25.73192261787105,0.10320105777891339,3987.0400125468404,5.421715641902212,21,0.7992062287578943,0.3220117220456542,嘉精工股份002 為 金屬加工 企業，現階段主要關注「製程數位監控」專案，同時面臨 出口客戶 帶來的減碳揭露與交期要求。
CMP_003,宏包材股份003,塑膠與包材,桃園,上市櫃企業,通路供應商,前審中,466,1316.3250632874551,0.2553665144491143,0.42925211825463766,0.6354229557355602,出口法規,循環材料導入,91.52982713860006,0.2930327443906563,4683.252124881707,3.4923832467629423,38,0.6167971225439842,0.2066465398377721,宏包材股份003 為 塑膠與包材 企業，現階段主要關注「循環材料導入」專案，同時面臨 出口法規 帶來的減碳揭露與交期要求。
CMP_004,華冷鏈材料004,冷鏈物流,台中,家族企業,OEM/ODM,前審中,972,479.8485340839287,0.7452779895517535,0.7555590225211395,0.773099227175801,量販通路,冷媒改善,178.75872563866557,0.1919069377200771,3313.1505290724,5.530993830046539,8,0.586219724800378,0.46321922840795743,華冷鏈材料004 為 冷鏈物流 企業，現階段主要關注「冷媒改善」專案，同時面臨 量販通路 帶來的減碳揭露與交期要求。
CMP_005,嘉食品實業005,食品加工,桃園,家族企業,出口導向供應商,前審中,686,915.5592373115215,0.12527062434571032,0.616397607431741,0.4787508036917175,零售通路,高效鍋爐,86.93047065283749,0.24533662412353063,3266.2239113921123,5.633050329174633,41,0.4400875913216451,0.6246926384929414,嘉食品實業005 為 食品加工 企業，現階段主要關注「高效鍋爐」專案，同時面臨 零售通路 帶來的減碳揭露與交期要求。
CMP_006,信電子能源006,電子零組件,台南,上市櫃企業,一階供應商,第三方導入,424,1118.1673075477493,0.17383924583602625,0.7906392038638346,0.6271263381508324,半導體客戶,PPA 綠電採購,108.3502003936382,0.14442338496140544,3685.216432640042,3.3537880969883083,20,0.23609594836230463,0.1931636593147195,信電子能源006 為 電子零組件 企業，現階段主要關注「PPA 綠電採購」專案，同時面臨 半導體客戶 帶來的減碳揭露與交期要求。
CMP_007,群精工精密007,金屬加工,台南,家族企業,一階供應商,前審中,1155,2927.570458308669,0.6737598497248146,0.512180676490307,0.9315058264086343,汽車供應鏈,高效馬達,236.1375871532412,0.1876173611534111,1237.5184466287174,3.0521657704135237,34,0.29313458108110824,0.6511008561372728,群精工精密007 為 金屬加工 企業，現階段主要關注「高效馬達」專案，同時面臨 汽車供應鏈 帶來的減碳揭露與交期要求。
CMP_008,華電子實業008,電子零組件,台南,家族企業,OEM/ODM,已送件待補件,609,4016.7456961925295,0.45431629261558504,0.7326583928284903,0.7004587813476413,國際品牌,製程節能,95.8159970215324,0.10046677288249313,671.4649753729954,4.573280689759645,22,0.2891794998636071,0.6935744733936142,華電子實業008 為 電子零組件 企業，現階段主要關注「製程節能」專案，同時面臨 國際品牌 帶來的減碳揭露與交期要求。
CMP_009,鼎包材實業009,塑膠與包材,新北,民營企業,通路供應商,前審中,711,1019.4249269743057,0.5845507030147618,0.36391036132811544,0.9251355279448672,零售通路,循環材料導入,244.76748146887078,0.22008385466530112,2788.359374045776,2.8416685806962256,40,0.5132303375817842,0.3921251053891289,鼎包材實業009 為 塑膠與包材 企業，現階段主要關注「循環材料導入」專案，同時面臨 零售通路 帶來的減碳揭露與交期要求。
CMP_010,富冷鏈物流010,冷鏈物流,新北,民營企業,二階供應商,第三方導入,458,185.6599318025452,0.8348518329086088,0.43555194428915256,0.6824216861234296,電商平台,冷凍機汰換,203.31863551982596,0.09016746486765104,5319.587754187117,2.6431555508323563,31,0.20394403595275504,0.46400853102271966,富冷鏈物流010 為 冷鏈物流 企業，現階段主要關注「冷凍機汰換」專案，同時面臨 電商平台 帶來的減碳揭露與交期要求。
CMP_011,盛電子股份011,電子零組件,桃園,外資背景,一階供應商,已送件待補件,467,4365.969741348825,0.7627662070927275,0.5434547246218564,0.9217396370418469,國際品牌,製程節能,26.003101751120603,0.18182717680085064,5756.388226399388,6.215057237776536,7,0.7501071941622559,0.6739369166126752,盛電子股份011 為 電子零組件 企業，現階段主要關注「製程節能」專案，同時面臨 國際品牌 帶來的減碳揭露與交期要求。
CMP_012,群紡織物流012,紡織成衣,台南,外資背景,二階供應商,第三方導入,582,1166.585219149711,0.7330501943310102,0.7536133705323342,0.574194637324226,供應鏈稽核,蒸汽系統更新,45.07569344081408,0.29271154819497375,956.7862910921059,2.368048864051791,13,0.5636049865733398,0.662228465319228,群紡織物流012 為 紡織成衣 企業，現階段主要關注「蒸汽系統更新」專案，同時面臨 供應鏈稽核 帶來的減碳揭露與交期要求。
CMP_013,永食品科技013,食品加工,桃園,家族企業,一階供應商,第三方導入,263,930.9832884182293,0.7374719673577657,0.9428141198971901,0.6504447117214054,出口客戶,高效鍋爐,44.848963633990124,0.20177238085377724,4051.1811318773107,4.538029689792873,19,0.6946396967566479,0.563552420361797,永食品科技013 為 食品加工 企業，現階段主要關注「高效鍋爐」專案，同時面臨 出口客戶 帶來的減碳揭露與交期要求。
CMP_014,永冷鏈材料014,冷鏈物流,台中,外資背景,通路供應商,銀行邀請入平台,997,1369.323606460644,0.2014781189932826,0.9158131561139696,0.5885469162949644,食品品牌,冷媒改善,241.57806518144665,0.06696065758815177,3255.732802109437,4.82346560307786,14,0.24777433840048207,0.20701055017962583,永冷鏈材料014 為 冷鏈物流 企業，現階段主要關注「冷媒改善」專案，同時面臨 食品品牌 帶來的減碳揭露與交期要求。
