company_id,renewable_share,scope1_2_tons,estimated_scope3_tons,climate_risk_score,water_risk_score,governance_maturity,board_esg_oversight,iso_14001,iso_50001,iso_14064,carbon_inventory,net_zero_commitment,environmental_controversy,esg_gap_summary,transition_barrier,top_expected_benefit,doc_台電帳單,doc_電子發票,doc_財報摘要,doc_銀行往來摘要,doc_專案計畫書,doc_設備報價單,doc_碳盤查資料,doc_ISO 文件,doc_供應鏈問卷,doc_還款來源說明
CMP_001,0.08129809196364367,786.9980311329193,4372.191039810123,0.7710827343740445,0.5682931942041083,0.3300234520203714,True,True,False,False,False,True,False,碳盤查邊界與頻率不足,CAPEX 壓力偏高,改善碳費暴露,False,True,True,False,True,False,False,False,False,True
CMP_002,0.07058519029707641,435.9809869685004,1095.4675476875084,0.2820583012842213,0.8148953471569275,0.5293991835303326,True,True,True,True,True,False,False,節能 KPI 缺乏月度追蹤,客戶要求加速但專案排程落後,滿足品牌供應鏈要求,True,False,True,False,True,True,False,True,True,True
CMP_003,0.16992551360409855,1176.678577200743,7055.80161203791,0.2638804148228529,0.6922167252745899,0.7331675075685689,False,False,False,False,True,True,False,董事會永續治理尚未制度化,客戶要求加速但專案排程落後,降低能耗成本,True,True,False,True,True,False,False,False,True,True
CMP_004,0.03893874669143765,481.56746862064506,2711.2568564846324,0.6657220256282619,0.4914673988080237,0.8836369011267844,True,True,True,True,True,True,False,供應鏈問卷回覆資料分散,CAPEX 壓力偏高,改善碳費暴露,True,True,True,False,True,True,False,False,True,True
CMP_005,0.18746100489784387,663.9970372813536,2489.8169758838467,0.513914585586378,0.8060502563122234,0.4188623411159428,True,True,True,False,True,True,False,董事會永續治理尚未制度化,設備汰換與產能安排衝突,滿足品牌供應鏈要求,True,False,True,False,False,True,False,False,True,True
CMP_006,0.3410412483625947,928.0509898091095,2863.76693115415,0.7151538821579491,0.21355080601259985,0.8254447523987734,True,True,True,False,False,False,False,供應鏈問卷回覆資料分散,內部資料治理成熟度不足,爭取新訂單資格,True,True,True,False,True,True,False,True,True,True
CMP_007,0.14357806275860763,2715.057969081075,16756.62358509054,0.6028770398768549,0.6795004860970317,0.854568070911101,True,True,False,False,False,False,False,董事會永續治理尚未制度化,CAPEX 壓力偏高,滿足品牌供應鏈要求,False,True,False,True,True,True,False,True,True,False
CMP_008,0.21367812927992502,4072.575337286846,15012.80053308956,0.5298019839334455,0.5719705941177236,0.5660000785606483,True,True,False,False,False,False,False,節能 KPI 缺乏月度追蹤,客戶要求加速但專案排程落後,滿足品牌供應鏈要求,True,False,True,True,False,False,True,False,True,False
CMP_009,0.11833572900860533,561.6113492209965,1093.4939047823784,0.21311621320783836,0.4555129691630303,0.6196001873302966,False,False,True,False,True,True,False,碳盤查邊界與頻率不足,設備汰換與產能安排衝突,提升貸款可核貸性,True,False,True,False,False,True,False,False,False,False
CMP_010,0.13361043677647483,229.4389208336134,1008.6387920800233,0.49160427105917226,0.8052838290753531,0.4352342689215426,False,True,False,True,True,True,False,碳盤查邊界與頻率不足,客戶要求加速但專案排程落後,提升貸款可核貸性,True,True,True,False,True,False,False,False,False,False
CMP_011,0.3213927505924989,2892.9709433293606,6248.149404217976,0.6114938637533056,0.3122108277480623,0.5953611279713302,True,True,False,False,True,True,True,節能 KPI 缺乏月度追蹤,設備汰換與產能安排衝突,爭取新訂單資格,True,True,True,False,True,False,False,False,True,False
CMP_012,0.13894943453505254,1283.983520400241,6009.334743392558,0.5939169740688032,0.2518491277211873,0.37657401472064667,False,True,True,True,True,False,True,碳盤查邊界與頻率不足,CAPEX 壓力偏高,爭取新訂單資格,True,True,True,False,True,True,False,True,True,True
CMP_013,0.07217117217518304,595.1496235882103,2324.723334733289,0.8233716302407168,0.8101189485401378,0.39317891450364917,True,True,True,True,True,True,False,供應鏈問卷回覆資料分散,客戶要求加速但專案排程落後,改善碳費暴露,True,True,True,True,False,True,True,True,False,True
CMP_014,0.04920174735064621,1332.826067453181,2952.037837170052,0.5357379720971835,0.3180780760507989,0.4940151867507965,False,True,False,False,True,False,False,董事會永續治理尚未制度化,CAPEX 壓力偏高,滿足品牌供應鏈要求,False,False,True,False,True,True,False,False,True,False
CMP_015,0.12422981978947065,2293.426207605862,12447.960048244955,0.41525831384530787,0.15831515260374263,0.642954798048669,False,False,False,True,True,True,False,董事會永續治理尚未制度化,內部資料治理成熟度不足,提升貸款可核貸性,True,True,True,True,False,True,True,True,True,True
CMP_016,0.06069248693062856,814.3767676413779,4797.413482318697,0.7773634155791467,0.24622825236761992,0.433655834684413,True,False,True,False,True,True,False,董事會永續治理尚未制度化,CAPEX 壓力偏高,提升貸款可核貸性,True,True,True,True,True,True,True,False,False,True
CMP_017,0.05611569240317494,400.51865407520586,757.0899354635521,0.5216390942580515,0.17550276041649696,0.4532585112240275,False,True,False,False,False,True,True,節能 KPI 缺乏月度追蹤,客戶要求加速但專案排程落後,改善碳費暴露,False,True,True,True,True,True,True,False,True,False
CMP_018,0.13828164622610484,541.8209925906348,871.9207557547309,0.7598806977023387,0.4126655433855273,0.6571658377451097,False,True,False,False,False,False,False,節能 KPI 缺乏月度追蹤,CAPEX 壓力偏高,改善碳費暴露,True,True,True,False,False,True,True,False,False,True
CMP_019,0.07972523675224895,1196.9605326230133,6385.489982274717,0.2757380334015891,0.628878372029579,0.43075425927265054,False,True,False,False,True,False,True,碳盤查邊界與頻率不足,CAPEX 壓力偏高,滿足品牌供應鏈要求,True,True,True,False,True,False,False,False,True,True
CMP_020,0.17217990921701673,1361.46354260393,4408.316770191009,0.33188156384540296,0.6499656760339405,0.4837510405795336,False,True,True,False,False,True,False,董事會永續治理尚未制度化,綠電取得成本與合約不確定,爭取新訂單資格,False,False,True,False,True,True,True,True,False,False
CMP_021,0.15183031738385142,658.8875959836855,3106.595340140604,0.6204145338551093,0.6677490308121456,0.7599271672041427,True,True,True,True,True,False,False,供應鏈問卷回覆資料分散,內部資料治理成熟度不足,降低能耗成本,False,True,True,False,True,True,False,False,True,False
CMP_022,0.12286741134113621,481.5200203172324,1981.433940974428,0.7017881161397017,0.7661502880868888,0.7688821969255315,False,True,True,False,True,True,False,節能 KPI 缺乏月度追蹤,設備汰換與產能安排衝突,提升貸款可核貸性,False,True,False,False,True,True,False,False,True,False
CMP_023,0.041287643965840684,1011.2925656458273,5560.917396983119,0.2085995861262154,0.37332296096471707,0.7721848709651857,False,False,False,False,False,True,False,節能 KPI 缺乏月度追蹤,客戶要求加速但專案排程落後,爭取新訂單資格,True,True,False,False,True,True,True,True,False,False
CMP_024,0.06189078210541688,2018.8011223844574,6270.58009205515,0.25569336383423524,0.5514432834958634,0.628947058946854,False,True,False,False,False,True,True,董事會永續治理尚未制度化,CAPEX 壓力偏高,爭取新訂單資格,True,True,False,True,False,False,False,True,True,False
CMP_025,0.08049597459093058,586.8770937759139,3012.703995747084,0.20406427466068883,0.6234444939142336,0.4567574529071986,True,True,False,False,True,True,False,再生能源採購路徑不明確,客戶要求加速但專案排程落後,滿足品牌供應鏈要求,True,True,False,True,True,True,True,True,True,False
CMP_026,0.1792531302461473,5634.128680314259,12031.330150093563,0.357878422579864,0.45389298733232786,0.3087437162241523,True,True,True,False,True,True,False,碳盤查邊界與頻率不足,CAPEX 壓力偏高,降低能耗成本,True,True,True,True,True,False,True,True,True,True
CMP_027,0.13525728256560082,1850.0613324655692,9664.541746107308,0.7120547402909814,0.5944823315331424,0.36322955095503906,True,True,True,False,False,False,False,供應鏈問卷回覆資料分散,客戶要求加速但專案排程落後,滿足品牌供應鏈要求,True,False,False,False,True,False,True,False,True,False
CMP_028,0.04307281755029978,1437.2564544356612,9106.785542721624,0.7614140570392312,0.7760978648369395,0.4281260801003495,True,True,True,False,False,True,True,董事會永續治理尚未制度化,綠電取得成本與合約不確定,滿足品牌供應鏈要求,True,False,False,True,True,False,True,True,True,False
CMP_029,0.03236439511607458,707.290030652085,2492.2636891022944,0.35536343573279955,0.7391981276254928,0.8786399235984605,True,True,True,True,True,False,False,供應鏈問卷回覆資料分散,客戶要求加速但專案排程落後,滿足品牌供應鏈要求,True,True,False,False,False,True,True,False,False,True
CMP_030,0.08248161067475314,1561.3320255158426,5154.862456499512,0.6353132049072899,0.5994177667058787,0.7189079262081027,True,False,False,True,True,True,False,碳盤查邊界與頻率不足,CAPEX 壓力偏高,降低能耗成本,False,False,False,False,False,True,False,True,True,True
CMP_031,0.1555074739630331,1866.4502536151288,8131.979703292086,0.4109323038472986,0.3586067861559913,0.8196928063865847,True,False,True,True,False,True,False,節能 KPI 缺乏月度追蹤,客戶要求加速但專案排程落後,滿足品牌供應鏈要求,True,True,True,True,True,False,False,False,False,False
CMP_032,0.18884541042343178,200.82081529291978,905.9860310526972,0.5967250256305814,0.46733602065105534,0.886984989497259,False,True,True,True,False,False,False,供應鏈問卷回覆資料分散,客戶要求加速但專案排程落後,滿足品牌供應鏈要求,False,True,True,True,True,False,True,False,True,False
