company_id,company_name,industry,region,ownership_type,supply_chain_role,relationship_stage,employees,revenue_twd_mn_x,export_ratio,digital_maturity,supply_chain_pressure,major_customer_pressure,transition_project,project_capex_twd_mn,expected_energy_saving_pct,expected_emission_reduction_tons,payback_years,ownership_years,customer_concentration,supplier_concentration,description,fiscal_year,revenue_twd_mn_y,ebitda_margin_pct,debt_to_ebitda,interest_coverage,current_ratio,dscr,operating_cashflow_twd_mn,capex_twd_mn,revenue_cv,annual_kwh,annual_power_cost_twd_mn,renewable_kwh,avg_invoice_count,renewable_share_calc,energy_intensity_kwh_per_twd_mn,renewable_share,scope1_2_tons,estimated_scope3_tons,climate_risk_score,water_risk_score,governance_maturity,board_esg_oversight,iso_14001,iso_50001,iso_14064,carbon_inventory,net_zero_commitment,environmental_controversy,esg_gap_summary,transition_barrier,top_expected_benefit,doc_台電帳單,doc_電子發票,doc_財報摘要,doc_銀行往來摘要,doc_專案計畫書,doc_設備報價單,doc_碳盤查資料,doc_ISO 文件,doc_供應鏈問卷,doc_還款來源說明,relationship_score,documentation_completeness,repayment_quality,banking_readiness,requested_loan_twd_mn,collateral_strength,loan_purpose_note,repayment_source_note,documentation_score,financial_resilience_score,green_impact_score,governance_score,transition_readiness_score,pd_estimate,panda_score,green_loan_fit_score,recommended_product,green_loan_fit,missing_documents,bank_red_flags,post_loan_kpis,carbon_fee_exposure_twd_mn,enterprise_actions,bank_actions,panda_score_industry_mean,panda_score_vs_industry,green_loan_fit_score_industry_mean,green_loan_fit_score_vs_industry,documentation_score_industry_mean,documentation_score_vs_industry,green_impact_score_industry_mean,green_impact_score_vs_industry,pd_estimate_industry_mean,pd_estimate_vs_industry
CMP_001,和食品物流001,食品加工,彰化,家族企業,出口導向供應商,前審中,936,1242.0858241999665,0.8040502943273337,0.7753944977262119,0.4065064087325897,品牌商,屋頂光電,105.8455159369824,0.3194941968776085,3762.908486861401,5.842912711662482,24,0.3254327819422571,0.4638425679498176,和食品物流001 為 食品加工 企業，現階段主要關注「屋頂光電」專案，同時面臨 品牌商 帶來的減碳揭露與交期要求。,2025,1138.8501832970437,15.267261318046776,1.5898886034818491,8.154950737670376,1.011336974457722,1.728623235200475,169.63839586505796,91.3747211101499,0.07562481087013512,1660333.399014598,5.414797239548265,134981.93736339788,3909.125,0.08129809196364368,664.1235834825939,0.0812980919636436,786.9980311329193,4372.191039810123,0.7710827343740445,0.5682931942041083,0.3300234520203714,True,True,False,False,False,True,False,碳盤查邊界與頻率不足,CAPEX 壓力偏高,改善碳費暴露,False,True,True,False,True,False,False,False,False,True,0.78,0.4,0.5825172093194269,0.5778810232617994,126.31207649965286,0.2579200949088074,用於 屋頂光電 與相關節能轉型投資,主要來自長約客戶應收與產能提升後新增收入,40.0,55.375761885927,64.31299341988625,38.05883776015216,26.73595604631111,0.04040596013784121,47.66867551306943,61.847354256343344,先補件＋顧問輔導方案,C｜建議先輔導,"['台電帳單', '銀行往來摘要', '設備報價單', '碳盤查資料', 'ISO 文件', '供應鏈問卷']","['氣候實體/轉型風險較高', '缺件較多，前審不宜直接推進']","['月用電年減目標：32%', '年度減碳目標：3,763 噸 CO2e', '專案里程碑達成率', '再生能源占比變化', '主要客戶 ESG 問卷回覆完成率', '設備上線與驗收進度']",0.2360994093398758,"['完成缺件上傳', '補充專案 KPI', '確認貸款用途與金流對應']","['先做輔導', '建立資料模板', '安排顧問/設備商合作']",54.878168274741114,-7.209492761671683,62.75475244245105,-0.9073981861077058,61.666666666666664,-21.666666666666664,49.34327093298031,14.969722486905944,0.042307534452209056,-0.0019015743143678474
CMP_002,嘉精工股份002,金屬加工,高雄,家族企業,通路供應商,貸後追蹤中,1034,410.1754231904425,0.6179648072800932,0.8124335214520779,0.562715580877921,出口客戶,製程數位監控,25.73192261787105,0.1032010577789133,3987.04001254684,5.421715641902212,21,0.7992062287578943,0.3220117220456542,嘉精工股份002 為 金屬加工 企業，現階段主要關注「製程數位監控」專案，同時面臨 出口客戶 帶來的減碳揭露與交期要求。,2025,426.0310128950166,8.572154698280912,2.3209579232495483,2.860999134679971,1.5961036817913152,1.4136926256159887,63.5732487700805,11.824530873929469,0.0751071466649087,919791.1117478912,2.9871330581616435,64923.63065628437,1198.875,0.07058519029707641,1113.4936474566143,0.0705851902970764,435.9809869685004,1095.4675476875084,0.2820583012842213,0.8148953471569275,0.5293991835303326,True,True,True,True,True,False,False,節能 KPI 缺乏月度追蹤,客戶要求加速但專案排程落後,滿足品牌供應鏈要求,True,False,True,False,True,True,False,True,True,True,0.86,0.7,0.4332690538037251,0.6546441688313038,26.326594795042155,0.9005213062170232,用於 製程數位監控 與相關節能轉型投資,主要來自穩定訂單與營運現金流,70.0,39.541409790979856,30.382301395475782,88.57228232397802,60.75018703963458,0.03073165941767603,53.826387821046126,61.25746991706468,數據建置＋綠色授信培育方案,C｜建議先輔導,"['電子發票', '銀行往來摘要', '碳盤查資料']",['客戶集中度偏高'],"['月用電年減目標：10%', '年度減碳目標：3,987 噸 CO2e', '專案里程碑達成率', '再生能源占比變化', '主要客戶 ESG 問卷回覆完成率', '設備上線與驗收進度']",0.13079429609055013,"['完成缺件上傳', '補充專案 KPI', '確認貸款用途與金流對應']","['先做輔導', '建立資料模板', '安排顧問/設備商合作']",50.4645732657981,3.3618145552480243,60.14951820548967,1.1079517115750122,61.578947368421055,8.421052631578945,42.99060495929648,-12.608303563820701,0.04084177696032637,-0.01011011754265034
CMP_003,宏包材股份003,塑膠與包材,桃園,上市櫃企業,通路供應商,前審中,466,1316.3250632874551,0.2553665144491143,0.4292521182546376,0.6354229557355602,出口法規,循環材料導入,91.52982713860006,0.2930327443906563,4683.252124881707,3.4923832467629423,38,0.6167971225439842,0.2066465398377721,宏包材股份003 為 塑膠與包材 企業，現階段主要關注「循環材料導入」專案，同時面臨 出口法規 帶來的減碳揭露與交期要求。,2025,1263.1411951444438,7.421867991452446,3.121178196697421,8.059078795913843,1.5898248504736183,2.713892269100072,100.05035574042968,109.37077485374552,0.08228088845607541,2482444.25569777,7.685241630275428,421830.6151429877,3630.125,0.16992551360409855,942.6388094362898,0.1699255136040985,1176.678577200743,7055.80161203791,0.2638804148228529,0.6922167252745899,0.7331675075685689,False,False,False,False,True,True,False,董事會永續治理尚未制度化,客戶要求加速但專案排程落後,降低能耗成本,True,True,False,True,True,False,False,False,True,True,0.78,0.6,0.5565789796332852,0.6388026428716498,64.15948647478146,0.6719223250459716,用於 循環材料導入 與相關節能轉型投資,主要來自節能節費效益與既有客戶續單,60.0,58.429084188477454,72.26474215396091,29.229229347745754,48.69613919356255,0.0352623176260638,55.15632524328855,67.73086418748571,轉型資金＋分階段授信,C｜建議先輔導,"['財報摘要', '設備報價單', '碳盤查資料', 'ISO 文件']",['客戶集中度偏高'],"['月用電年減目標：29%', '年度減碳目標：4,683 噸 CO2e', '專案里程碑達成率', '再生能源占比變化', '主要客戶 ESG 問卷回覆完成率', '設備上線與驗收進度']",0.35300357316022285,"['完成缺件上傳', '補充專案 KPI', '確認貸款用途與金流對應']","['先做輔導', '建立資料模板', '安排顧問/設備商合作']",51.717871558769524,3.4384536845190254,61.1399359619547,6.590928225531009,63.333333333333336,-3.3333333333333357,46.841298404484604,25.423443749476306,0.04596979135007758,-0.010707473724013782
CMP_004,華冷鏈材料004,冷鏈物流,台中,家族企業,OEM/ODM,前審中,972,479.8485340839287,0.7452779895517535,0.7555590225211395,0.773099227175801,量販通路,冷媒改善,178.75872563866557,0.1919069377200771,3313.1505290724,5.530993830046539,8,0.586219724800378,0.4632192284079574,華冷鏈材料004 為 冷鏈物流 企業，現階段主要關注「冷媒改善」專案，同時面臨 量販通路 帶來的減碳揭露與交期要求。,2025,455.0612161592007,10.061932237285246,2.509708621343129,6.504304963423838,1.786347634849628,1.4400061630586705,67.3256396829534,148.53627459303044,0.07436239910230626,1015965.123672247,3.316409963408434,39560.408598008755,1416.1666666666667,0.03893874669143765,1055.5730824939506,0.0389387466914376,481.56746862064506,2711.2568564846324,0.6657220256282619,0.4914673988080237,0.8836369011267844,True,True,True,True,True,True,False,供應鏈問卷回覆資料分散,CAPEX 壓力偏高,改善碳費暴露,True,True,True,False,True,True,False,False,True,True,0.78,0.7,0.5220504260607054,0.6617176491212469,171.04816594097252,0.7613807889968776,用於 冷媒改善 與相關節能轉型投資,主要來自節能節費效益與既有客戶續單,70.0,52.466796107553535,36.651247851674036,100.0,80.8551930311449,0.018118454271570602,64.22383327949994,67.27039605051961,永續績效連結貸款,C｜建議先輔導,"['銀行往來摘要', '碳盤查資料', 'ISO 文件']",['目前未見重大紅旗，仍建議依常規前審'],"['月用電年減目標：19%', '年度減碳目標：3,313 噸 CO2e', '專案里程碑達成率', '再生能源占比變化', '主要客戶 ESG 問卷回覆完成率', '設備上線與驗收進度']",0.1444702405861935,"['完成缺件上傳', '補充專案 KPI', '確認貸款用途與金流對應']","['先做輔導', '建立資料模板', '安排顧問/設備商合作']",52.91829062267169,11.305542656828251,60.97992109410326,6.290474956416347,61.76470588235294,8.235294117647058,45.6009271417816,-8.94967929010756,0.055400581930926535,-0.03728212765935593
CMP_005,嘉食品實業005,食品加工,桃園,家族企業,出口導向供應商,前審中,686,915.5592373115217,0.1252706243457103,0.616397607431741,0.4787508036917175,零售通路,高效鍋爐,86.93047065283749,0.2453366241235306,3266.2239113921123,5.633050329174633,41,0.4400875913216451,0.6246926384929414,嘉食品實業005 為 食品加工 企業，現階段主要關注「高效鍋爐」專案，同時面臨 零售通路 帶來的減碳揭露與交期要求。,2025,894.1898733991385,12.00268958628227,4.250690995616374,6.860521874508796,2.446567223711731,1.6521067421010351,100.39569618218788,80.65054300237706,0.08784277111169636,1400837.6313952608,4.6116322398033995,262602.430080071,2301.375,0.18746100489784387,758.7340929488394,0.1874610048978438,663.9970372813536,2489.8169758838467,0.513914585586378,0.8060502563122234,0.4188623411159428,True,True,True,False,True,True,False,董事會永續治理尚未制度化,設備汰換與產能安排衝突,滿足品牌供應鏈要求,True,False,True,False,False,True,False,False,True,True,0.78,0.5,0.547733807841594,0.6007068327445578,102.42972905681644,0.5743599813732081,用於 高效鍋爐 與相關節能轉型投資,主要來自長約客戶應收與產能提升後新增收入,50.0,43.01547135085777,58.11372617270113,70.96113271277014,31.56025493663794,0.04965604067798623,50.814270937849145,62.60449668926872,先補件＋顧問輔導方案,C｜建議先輔導,"['電子發票', '銀行往來摘要', '專案計畫書', '碳盤查資料', 'ISO 文件']",['缺件較多，前審不宜直接推進'],"['月用電年減目標：25%', '年度減碳目標：3,266 噸 CO2e', '專案里程碑達成率', '再生能源占比變化', '主要客戶 ESG 問卷回覆完成率', '設備上線與驗收進度']",0.19919911118440609,"['完成缺件上傳', '補充專案 KPI', '確認貸款用途與金流對應']","['先做輔導', '建立資料模板', '安排顧問/設備商合作']",54.878168274741114,-4.063897336891969,62.75475244245105,-0.15025575318232853,61.666666666666664,-11.666666666666664,49.34327093298031,8.770455239720818,0.042307534452209056,0.0073485062257771724
CMP_006,信電子能源006,電子零組件,台南,上市櫃企業,一階供應商,第三方導入,424,1118.1673075477493,0.1738392458360262,0.7906392038638346,0.6271263381508324,半導體客戶,PPA 綠電採購,108.3502003936382,0.1444233849614054,3685.216432640042,3.3537880969883083,20,0.2360959483623046,0.1931636593147195,信電子能源006 為 電子零組件 企業，現階段主要關注「PPA 綠電採購」專案，同時面臨 半導體客戶 帶來的減碳揭露與交期要求。,2025,1114.795141560365,23.545798046730955,3.244399643619426,4.586189921513721,2.399003687825913,1.5379922736094014,77.11938810599892,95.94134055166958,0.067129657663536,1957913.4806099357,6.165549838384883,667729.2576131652,3207.75,0.34104124836259464,879.413076540313,0.3410412483625947,928.0509898091096,2863.76693115415,0.7151538821579491,0.2135508060125998,0.8254447523987734,True,True,True,False,False,False,False,供應鏈問卷回覆資料分散,內部資料治理成熟度不足,爭取新訂單資格,True,True,True,False,True,True,False,True,True,True,0.46,0.8,0.4553139442640118,0.577359880492404,74.01438741070332,0.7477693866048358,用於 PPA 綠電採購 與相關節能轉型投資,主要來自節能節費效益與既有客戶續單,80.0,55.18929683521732,61.287378467872564,68.24385261283503,74.41254746986444,0.027105309803007044,65.55187501163888,69.69654193920633,數據建置＋綠色授信培育方案,B｜可推進但需補件,"['銀行往來摘要', '碳盤查資料']",['氣候實體/轉型風險較高'],"['月用電年減目標：14%', '年度減碳目標：3,685 噸 CO2e', '專案里程碑達成率', '再生能源占比變化', '主要客戶 ESG 問卷回覆完成率', '設備上線與驗收進度']",0.27841529694273287,"['完成缺件上傳', '補充專案 KPI', '確認貸款用途與金流對應']","['要求補件', '確認還款來源', '補強 ESG/碳資料']",55.372720793164184,10.1791542184747,63.886407656422776,5.810134282783551,63.57142857142857,16.42857142857143,53.60630528002963,7.681073187842934,0.04105481018783329,-0.013949500384826244
CMP_007,群精工精密007,金屬加工,台南,家族企業,一階供應商,前審中,1155,2927.570458308669,0.6737598497248146,0.512180676490307,0.9315058264086344,汽車供應鏈,高效馬達,236.1375871532412,0.1876173611534111,1237.5184466287174,3.052165770413524,34,0.2931345810811082,0.6511008561372728,群精工精密007 為 金屬加工 企業，現階段主要關注「高效馬達」專案，同時面臨 汽車供應鏈 帶來的減碳揭露與交期要求。,2025,2949.942550663388,17.37647969572357,2.77497755139517,9.429853170083996,2.260656443799548,1.8158337821415051,327.7354135834398,239.5758468236118,0.0739286386983946,5727970.39890522,18.234061018116016,822410.8934134606,8775.75,0.14357806275860763,973.2637996276799,0.1435780627586076,2715.057969081075,16756.62358509054,0.6028770398768549,0.6795004860970317,0.854568070911101,True,True,False,False,False,False,False,董事會永續治理尚未制度化,CAPEX 壓力偏高,滿足品牌供應鏈要求,False,True,False,True,True,True,False,True,True,False,0.78,0.6,0.5813030079293249,0.6474560527752636,262.99626346646545,0.2498524513885593,用於 高效馬達 與相關節能轉型投資,主要來自節能節費效益與既有客戶續單,60.0,70.05342869252537,42.48029318122732,55.1952879716325,67.8522083450626,0.017666304399301506,59.00173556750553,65.51861995008082,數據建置＋綠色授信培育方案,C｜建議先輔導,"['台電帳單', '財報摘要', '碳盤查資料', '還款來源說明']",['目前未見重大紅旗，仍建議依常規前審'],"['月用電年減目標：19%', '年度減碳目標：1,238 噸 CO2e', '專案里程碑達成率', '再生能源占比變化', '主要客戶 ESG 問卷回覆完成率', '設備上線與驗收進度']",0.8145173907243225,"['完成缺件上傳', '補充專案 KPI', '確認貸款用途與金流對應']","['先做輔導', '建立資料模板', '安排顧問/設備商合作']",50.4645732657981,8.537162301707426,60.14951820548967,5.369101744591148,61.578947368421055,-1.5789473684210549,42.99060495929648,-0.5103117780691662,0.04084177696032637,-0.023175472561024864
CMP_008,華電子實業008,電子零組件,台南,家族企業,OEM/ODM,已送件待補件,609,4016.7456961925295,0.454316292615585,0.7326583928284903,0.7004587813476413,國際品牌,製程節能,95.8159970215324,0.1004667728824931,671.4649753729954,4.573280689759645,22,0.2891794998636071,0.6935744733936142,華電子實業008 為 電子零組件 企業，現階段主要關注「製程節能」專案，同時面臨 國際品牌 帶來的減碳揭露與交期要求。,2025,3958.2735564975255,11.913406376313818,0.8755005587232187,4.838550492472201,2.0736395203073386,2.3736301345056656,375.156059525853,104.3706421945188,0.07256767062497829,8591931.091322461,27.95283717271572,1835907.762495808,10943.416666666666,0.21367812927992502,1086.8349924041925,0.213678129279925,4072.575337286846,15012.80053308956,0.5298019839334455,0.5719705941177236,0.5660000785606483,True,True,False,False,False,False,False,節能 KPI 缺乏月度追蹤,客戶要求加速但專案排程落後,滿足品牌供應鏈要求,True,False,True,True,False,False,True,False,True,False,0.7,0.5,0.5646387991553794,0.5826235797043828,84.7067833886567,0.4445665175213449,用於 製程節能 與相關節能轉型投資,主要來自穩定訂單與營運現金流,50.0,71.10201720555193,25.549063638752585,45.76800408490085,49.70516033135859,0.020087926572678442,49.23140647915469,57.23720552406659,先補件＋顧問輔導方案,C｜建議先輔導,"['電子發票', '專案計畫書', '設備報價單', 'ISO 文件', '還款來源說明']",['缺件較多，前審不宜直接推進'],"['月用電年減目標：10%', '年度減碳目標：671 噸 CO2e', '專案里程碑達成率', '再生能源占比變化', '主要客戶 ESG 問卷回覆完成率', '設備上線與驗收進度']",1.221772601186054,"['完成缺件上傳', '補充專案 KPI', '確認貸款用途與金流對應']","['先做輔導', '建立資料模板', '安排顧問/設備商合作']",55.372720793164184,-6.141314314009492,63.886407656422776,-6.649202132356187,63.57142857142857,-13.57142857142857,53.60630528002963,-28.057241641277045,0.04105481018783329,-0.020966883615154846
CMP_009,鼎包材實業009,塑膠與包材,新北,民營企業,通路供應商,前審中,711,1019.4249269743055,0.5845507030147618,0.3639103613281154,0.9251355279448672,零售通路,循環材料導入,244.7674814688708,0.2200838546653011,2788.359374045776,2.8416685806962256,40,0.5132303375817842,0.3921251053891289,鼎包材實業009 為 塑膠與包材 企業，現階段主要關注「循環材料導入」專案，同時面臨 零售通路 帶來的減碳揭露與交期要求。,2025,1028.2898398201526,11.11021264872946,1.643720380969385,5.099916252904483,1.611292100841666,2.2686313935692506,157.99167595709224,154.97455589296226,0.0852498953462805,1184834.0700864906,3.740118053638986,140208.20343791784,2863.4166666666665,0.11833572900860533,578.3397143163398,0.1183357290086053,561.6113492209965,1093.4939047823784,0.2131162132078383,0.4555129691630303,0.6196001873302966,False,False,True,False,True,True,False,碳盤查邊界與頻率不足,設備汰換與產能安排衝突,提升貸款可核貸性,True,False,True,False,False,True,False,False,False,False,0.78,0.3,0.575385126254529,0.5403847941890851,196.06146383621223,0.8321954934955953,用於 循環材料導入 與相關節能轉型投資,主要來自節能節費效益與既有客戶續單,30.0,53.26874655000275,60.84266822355152,39.51907646689082,36.85728710151201,0.03313938022404164,46.7280891079354,60.29894861140453,先補件＋顧問輔導方案,C｜建議先輔導,"['電子發票', '銀行往來摘要', '專案計畫書', '碳盤查資料', 'ISO 文件', '供應鏈問卷', '還款來源說明']",['缺件較多，前審不宜直接推進'],"['月用電年減目標：22%', '年度減碳目標：2,788 噸 CO2e', '專案里程碑達成率', '再生能源占比變化', '主要客戶 ESG 問卷回覆完成率', '設備上線與驗收進度']",0.16848340476629897,"['完成缺件上傳', '補充專案 KPI', '確認貸款用途與金流對應']","['先做輔導', '建立資料模板', '安排顧問/設備商合作']",51.717871558769524,-4.98978245083412,61.1399359619547,-0.840987350550165,63.333333333333336,-33.333333333333336,46.841298404484604,14.001369819066916,0.04596979135007758,-0.012830411126035939
CMP_010,富冷鏈物流010,冷鏈物流,新北,民營企業,二階供應商,第三方導入,458,185.6599318025452,0.8348518329086088,0.4355519442891525,0.6824216861234296,電商平台,冷凍機汰換,203.318635519826,0.090167464867651,5319.587754187117,2.6431555508323563,31,0.203944035952755,0.4640085310227196,富冷鏈物流010 為 冷鏈物流 企業，現階段主要關注「冷凍機汰換」專案，同時面臨 電商平台 帶來的減碳揭露與交期要求。,2025,197.2997836248712,10.511367968712335,4.497891752637673,1.633766864754913,1.2160391973497302,1.1394604724853084,26.23346410824165,106.981290212559,0.08260546014337865,484048.35618905775,1.5467705572620531,64673.912291354674,546.5416666666666,0.13361043677647483,1299.9230222963297,0.1336104367764748,229.4389208336134,1008.6387920800232,0.4916042710591722,0.8052838290753531,0.4352342689215426,False,True,False,True,True,True,False,碳盤查邊界與頻率不足,客戶要求加速但專案排程落後,提升貸款可核貸性,True,True,True,False,True,False,False,False,False,False,0.46,0.4,0.3800048814961813,0.4110017085236634,154.25002913936737,0.6787201455346856,用於 冷凍機汰換 與相關節能轉型投資,主要來自穩定訂單與營運現金流,40.0,10.346986551367273,44.19576288476248,51.49599040762155,16.21017708117064,0.13667928500016552,30.967045933085014,46.050983573072585,先補件＋顧問輔導方案,D｜暫不建議送件,"['銀行往來摘要', '設備報價單', '碳盤查資料', 'ISO 文件', '供應鏈問卷', '還款來源說明']","['PD 偏高，需強化還款來源與保全條件', '缺件較多，前審不宜直接推進']","['月用電年減目標：9%', '年度減碳目標：5,320 噸 CO2e', '專案里程碑達成率', '再生能源占比變化', '主要客戶 ESG 問卷回覆完成率', '設備上線與驗收進度']",0.06883167625008402,"['完成缺件上傳', '補充專案 KPI', '確認貸款用途與金流對應']","['先做輔導', '建立資料模板', '安排顧問/設備商合作']",52.91829062267169,-21.951244689586677,60.97992109410326,-14.928937521030676,61.76470588235294,-21.764705882352942,45.6009271417816,-1.4051642570191163,0.055400581930926535,0.08127870306923898
